movieCd,movieNm,movieNmEn,movieNmOg,audits,openDt,showTm,genres,directors
20196309,스파이더맨: 파 프롬 홈,Spider-Man: Far From Home,,12세이상관람가,20190702,129,액션,존 왓츠
20183867,알라딘,Aladdin,,전체관람가,20190523,127,어드벤처,가이 리치
20184047,토이 스토리 4,Toy Story 4,,전체관람가,20190620,99,애니메이션,조시 쿨리
20185353,기방도령,HOMME FATALE,,15세이상관람가,20190710,110,코미디,남대중
20183782,기생충,PARASITE,,15세이상관람가,20190530,131,드라마,봉준호
20185986,진범,The Culprit,,15세이상관람가,20190710,100,스릴러,고정욱
20191601,극장판 엉덩이 탐정: 화려한 사건 수첩,Butt Detective The Movie,劇場版おしりたんてい：カレーなる事件,전체관람가,20190711,68,애니메이션,히라야마 미호
20199951,애나벨 집으로,Annabelle Comes Home,,15세이상관람가,20190626,105,공포(호러),게리 도버먼
20196655,존 윅 3: 파라벨룸,John Wick: Chapter 3 - parabellum,,청소년관람불가,20190626,131,액션,채드 스타헬스키
20192151,미드소마,Midsommar,,청소년관람불가,20190711,147,공포(호러),아리 애스터
20198453,롱 리브 더 킹: 목포 영웅,Long Live the King,,15세이상관람가,20190619,117,액션,강윤성
20190273,천로역정: 천국을 찾아서,The Pilgrim's Progress,,전체관람가,20190613,113,애니메이션,로버트 페르난데스
20182585,비스트,The Beast,,15세이상관람가,20190626,130,범죄,이정호
20192591,BIFAN2019 판타스틱 단편 걸작선 1,Fantastic Short Films 1,,,,,기타,
20192022,마담 싸이코,Greta,,15세이상관람가,20190626,98,공포(호러),닐 조단
20196657,맨 인 블랙: 인터내셔널,Men in Black: International,,12세이상관람가,20190612,115,액션,F. 게리 그레이
20190885,사탄의 인형,Child's Play,,청소년관람불가,20190620,90,공포(호러),라스 클리브버그
20182387,엑스맨: 다크 피닉스,X-MEN: DARK PHOENIX,,12세이상관람가,20190605,113,액션,사이먼 킨버그
20190466,세상을 바꾼 변호인,ON THE BASIS OF SEX,,12세이상관람가,20190613,120,드라마,미미 레더
19880001,이웃집 토토로,My Neighbor Totoro,となりの トトロ,전체관람가,20010728,87,애니메이션,미야자키 하야오
20191401,업사이드,The Upside,,12세이상관람가,20190613,125,코미디,닐 버거
20198291,로켓맨,Rocketman,,15세이상관람가,20190605,121,드라마,덱스터 플레처
20184889,어벤져스: 엔드게임,Avengers: Endgame,,12세이상관람가,20190424,180,액션,안소니 루소
20188941,악인전,"The Gangster, The Cop, The Devil",,청소년관람불가,20190515,109,범죄,이원태
20184865,고질라: 킹 오브 몬스터,Godzilla: King of the Monsters,,12세이상관람가,20190529,131,액션,마이클 도허티
20199063,빅샤크2: 해저2만리,Happy Little Submarine : 20000 Leagues under the Sea,,전체관람가,20190606,74,애니메이션,신우
20188144,0.0MHz,0.0MHz,,15세이상관람가,20190529,101,공포(호러),유선동
20184082,걸캅스,Miss & Mrs. Cops,,15세이상관람가,20190509,107,코미디,정다원
20199448,어린 의뢰인,My First Client,,12세이상관람가,20190522,114,드라마,장규성
20198597,교회오빠,A Job Who Is near Us,,전체관람가,20190516,84,다큐멘터리,이호경
20199822,더 보이,Brightburn,,15세이상관람가,20190523,90,공포(호러),데이빗 야로베스키
20187981,배심원들,Juror 8,,12세이상관람가,20190515,113,드라마,홍승완
20198598,명탐정 피카츄,Pokemon Detective Pikachu,,전체관람가,20190509,104,액션,롭 레터맨
20185784,나의 특별한 형제,Inseparable Bros,,12세이상관람가,20190501,113,드라마,육상효
20198183,뽀로로 극장판 보물섬 대모험,Treasure Island Adventure,,전체관람가,20190425,79,애니메이션,김현호
20185384,호텔 뭄바이,Hotel Mumbai,,15세이상관람가,20190508,122,스릴러,앤소니 마라스
20197503,서스페리아,Suspiria,,청소년관람불가,20190516,152,공포(호러),루카 구아다니노
20197147,어글리 돌,UglyDolls,UGLYDOLLS,전체관람가,20190501,87,애니메이션,캘리 애스버리
20169323,안도 타다오,Samurai Architect Tadao Ando,,전체관람가,20190425,73,다큐멘터리,미즈노 시게노리
20183096,생일,Birthday,,전체관람가,20190403,120,드라마,이종언
20181877,캡틴 마블,Captain Marvel,,12세이상관람가,20190306,123,액션,애너 보든
20060347,판의 미로 - 오필리아와 세 개의 열쇠,Pan's Labyrinth,El Laberinto Del Fauno,15세이상관람가,20061130,118,드라마,길예르모 델 토로
20199736,프렌즈: 둥지탈출,Manou the Swift,,전체관람가,20190501,87,애니메이션,크리스찬 하스
20183454,요로나의 저주,The Curse of La Llorona,,15세이상관람가,20190417,93,공포(호러),마이클 차베즈
20180825,미성년,Another Child,,15세이상관람가,20190411,95,드라마,김윤석
20198982,크게 될 놈,,,15세이상관람가,20190418,108,드라마,강지은
19990220,노팅 힐,Notting Hill,Notting Hill,12세관람가,19990703,124,멜로/로맨스,로저 미첼
20176103,돈,Money,,15세이상관람가,20190320,115,범죄,박누리
20198104,바이스,VICE,,15세이상관람가,20190411,132,드라마,아담 맥케이
20185406,헬보이,Hellboy,,청소년관람불가,20190410,120,액션,닐 마샬
20182501,왓칭,Watching,,15세이상관람가,20190417,97,공포(호러),김성기
20198844,아이 엠 마더,Peppermint,,15세이상관람가,20190411,101,액션,피에르 모렐
20196244,샤잠!,SHAZAM!,,12세이상관람가,20190403,131,액션,데이비드 F. 샌드버그
20185352,어스,Us,,15세이상관람가,20190327,116,공포(호러),조던 필
20197423,공포의 묘지,Pet Sematary,,15세이상관람가,20190410,100,공포(호러),케빈 콜쉬
20183773,장난스런 키스,Fall in Love at First Kiss,一吻定情,12세이상관람가,20190327,122,멜로/로맨스,프랭키 첸
20198403,파이브 피트,Five Feet Apart,,15세이상관람가,20190410,116,드라마,저스틴 밸도니
20196025,덤보,Dumbo,,전체관람가,20190327,111,가족,팀 버튼
20197092,로망,Romang,,전체관람가,20190403,111,멜로/로맨스,이창근
20198146,콜레트,COLETTE,,15세이상관람가,20190327,112,드라마,워시 웨스트모어랜드
20197846,악질경찰,Jo Pil-ho: The Dawning Rage,,청소년관람불가,20190320,127,범죄,이정범
20175407,우상,Idol,,15세이상관람가,20190320,143,스릴러,이수진
20166301,썬키스 패밀리,Sunkist Family,,15세이상관람가,20190327,105,가족,김지혜
20197483,1919 유관순,1919 Yu-kwan-sun,,12세이상관람가,20190314,79,다큐멘터리,신상민
20197283,이스케이프 룸,The Escape Room,,15세이상관람가,20190314,99,액션,애덤 로비텔
20197356,라스트 미션,The Mule,,15세이상관람가,20190314,116,드라마,클린트 이스트우드
20198603,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,Fate/stay night [Heaven's Feel] II.lost butterfly,,15세이상관람가,20190321,117,애니메이션,스도 토모노리
20197617,정글북: 마법 원정대,Savva,,전체관람가,20190321,80,애니메이션,막심 파디브
20184574,그린 북,Green Book,,12세이상관람가,20190109,130,드라마,피터 패럴리
20196601,항거:유관순 이야기,A Resistance,,12세이상관람가,20190227,105,드라마,조민호
20182530,극한직업,Extreme Job,,15세이상관람가,20190123,111,코미디,이병헌
20185881,증인,Innocent Witness,,12세이상관람가,20190213,129,드라마,이한
20177539,사바하,SVAHA : THE SIXTH FINGER,,15세이상관람가,20190220,122,미스터리,장재현
20196723,숲속왕국의 꿀벌 여왕,Tall Tales,,전체관람가,20190314,87,애니메이션,아르나드 부롱
20180937,더 페이버릿: 여왕의 여자,THE FAVOURITE,,15세이상관람가,20190221,119,드라마,요르고스 란티모스
20177282,리노,Lino - Adventure of Seven Lives,Lino: Uma Aventura de Sete Vidas,전체관람가,20190307,88,애니메이션,라파엘 리바스
20176442,자전차왕 엄복동,Race to Freedom : Um Bok Dong,,12세이상관람가,20190227,116,드라마,김유성
20195743,신데렐라:마법 반지의 비밀,Cinderella and The Secret Prince,,전체관람가,20190220,87,애니메이션,린 사우더랜드
20195791,"어쩌다, 결혼",Trade Your Love,,12세이상관람가,20190227,87,멜로/로맨스,박수진
20186261,드래곤 길들이기 3,How to Train Your Dragon 3,How to Train Your Dragon: The Hidden World,전체관람가,20190130,104,애니메이션,딘 데블로이스
20188282,알리타: 배틀 엔젤,Alita: Battle Angel,,12세이상관람가,20190205,121,액션,로버트 로드리게즈
